	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6	0.8571	0.7059	0.5455	22.0
DRINKS#PRICES	0.6667	1.0	0.8	0.6667	3.0
DRINKS#QUALITY	0.6667	0.6667	0.6667	0.5	4.0
DRINKS#STYLE_OPTIONS	0.6667	0.6667	0.6667	0.5	4.0
FOOD#PRICES	0.5556	1.0	0.7143	0.5556	9.0
FOOD#QUALITY	0.6909	0.95	0.8	0.6667	57.0
FOOD#STYLE_OPTIONS	0.6667	0.5714	0.6154	0.4444	9.0
LOCATION#GENERAL	1.0	0.5	0.6667	0.5	2.0
RESTAURANT#GENERAL	0.8571	0.5714	0.6857	0.5217	23.0
RESTAURANT#MISCELLANEOUS	1.0	0.1667	0.2857	0.1667	6.0
RESTAURANT#PRICES	0.0	0.0	0.0	0.0	5.0
SERVICE#GENERAL	0.9524	0.9091	0.9302	0.8696	23.0
Micro-AVG	0.7279	0.7615	0.7444	0.5928	167.0
Macro-AVG	2.0807	1.9648	1.8843		167
