	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5538	0.8372	0.6667	0.5	72.0
DRINKS#PRICES	0.5	0.6667	0.5714	0.4	5.0
DRINKS#QUALITY	0.4	0.5	0.4444	0.2857	14.0
DRINKS#STYLE_OPTIONS	1.0	0.1667	0.2857	0.1667	6.0
FOOD#PRICES	0.5789	0.6875	0.6286	0.4583	24.0
FOOD#QUALITY	0.7892	0.8733	0.8291	0.7081	185.0
FOOD#STYLE_OPTIONS	0.3235	0.5	0.3929	0.2444	45.0
LOCATION#GENERAL	0.25	0.4	0.3077	0.1818	11.0
RESTAURANT#GENERAL	0.6207	0.7714	0.6879	0.5243	103.0
RESTAURANT#MISCELLANEOUS	0.5	0.0588	0.1053	0.0556	18.0
RESTAURANT#PRICES	0.8889	0.5714	0.6957	0.5333	15.0
SERVICE#GENERAL	0.775	0.8267	0.8	0.6667	93.0
Micro-AVG	0.666	0.7529	0.7068	0.5465	591.0
Macro-AVG	0.5983	0.5716	0.5346		591
