	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.907	0.907	0.907	0.8298	47.0
DRINKS#PRICES	0.3333	0.6667	0.4444	0.2857	7.0
DRINKS#QUALITY	0.875	0.875	0.875	0.7778	9.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.75	0.375	0.5	0.3333	18.0
FOOD#QUALITY	0.8667	0.8667	0.8667	0.7647	170.0
FOOD#STYLE_OPTIONS	1.0	0.5	0.6667	0.5	22.0
LOCATION#GENERAL	1.0	0.4	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.8594	0.7857	0.8209	0.6962	79.0
RESTAURANT#MISCELLANEOUS	0.5625	0.5294	0.5454	0.375	24.0
RESTAURANT#PRICES	0.65	0.9286	0.7647	0.619	21.0
SERVICE#GENERAL	0.84	0.84	0.84	0.7241	87.0
Micro-AVG	0.8378	0.7949	0.8158	0.6889	495.0
Macro-AVG	0.8037	0.6951	0.7168		495
